reviewer,starRating,comment,createTime,updateTime,name,displayName,reviewer_name,review_id,reviewReply
{'displayName': 'Cleuza Bonetti'},FIVE,"(Translated by Google) Wonderful I loved it

(Original)
Maravilhoso amei",2019-06-16T23:38:33.170042Z,2019-06-16T23:38:33.170042Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNFMmYtRHFnRRAB,Cleuza Bonetti,Cleuza Bonetti,ChdDSUhNMG9nS0VJQ0FnSUNFMmYtRHFnRRAB,
{'displayName': 'Joao Santos'},FOUR,"(Translated by Google) Liked it, great service.

(Original)
Gostei, atendimento ótimo.",2019-06-16T20:30:21.653013Z,2019-06-16T20:30:21.653013Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNFc2FETTV3RRAB,Joao Santos,Joao Santos,ChdDSUhNMG9nS0VJQ0FnSUNFc2FETTV3RRAB,
{'displayName': 'Daniel Araújo'},FIVE,,2019-06-15T20:13:31.266914Z,2019-06-15T20:13:31.266914Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNFdUxqR3pnRRAB,Daniel Araújo,Daniel Araújo,ChdDSUhNMG9nS0VJQ0FnSUNFdUxqR3pnRRAB,
{'displayName': 'Giuliano Contiero'},FIVE,,2019-06-15T14:06:04.212188Z,2019-06-15T14:06:04.212188Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUQ0djkzRGhnRRAB,Giuliano Contiero,Giuliano Contiero,ChdDSUhNMG9nS0VJQ0FnSUQ0djkzRGhnRRAB,
{'displayName': 'Denise Abreu'},FIVE,"(Translated by Google) Family atmosphere and close contact with nature. Clean, safe and very quiet to go with children, elderly and small animals.

(Original)
Ambiente familiar e de muito contato com a natureza. Limpo, seguro e muito tranquilo para se ir com criancas , idosos e animais de pequeno porte.",2019-06-15T12:21:35.212961Z,2019-06-15T12:21:35.212961Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUQ0ci0yaUp3EAE,Denise Abreu,Denise Abreu,ChZDSUhNMG9nS0VJQ0FnSUQ0ci0yaUp3EAE,
{'displayName': 'Milena Paes'},FIVE,"(Translated by Google) Wonderful place and very well structured!

(Original)
Lugar maravilhoso e muito bem estruturado!",2019-06-13T12:40:55.120329Z,2019-06-13T12:40:55.120329Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUQ0LXFpcVl3EAE,Milena Paes,Milena Paes,ChZDSUhNMG9nS0VJQ0FnSUQ0LXFpcVl3EAE,
{'displayName': 'Wilson nunes jr'},FIVE,"(Translated by Google) I had great times with my brother in this place, a wonderful campsite for the whole family, great facilities!!!

(Original)
Vivi grandes momentos com meu irmão neste lugar, um camping maravilhoso pra todo família, ótimas estruturas !!!",2019-06-10T22:54:09.413195Z,2019-06-10T22:54:09.413195Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUM0MWFibmJnEAE,Wilson nunes jr,Wilson nunes jr,ChZDSUhNMG9nS0VJQ0FnSUM0MWFibmJnEAE,
{'displayName': 'Raiza Mendes'},FIVE,,2019-06-10T00:39:58.303804Z,2019-06-10T00:39:58.303804Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUM0LVlMYWFnEAE,Raiza Mendes,Raiza Mendes,ChZDSUhNMG9nS0VJQ0FnSUM0LVlMYWFnEAE,
{'displayName': 'Aline Cristina'},FIVE,,2019-06-09T22:43:57.346132Z,2019-06-09T22:43:57.346132Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUM0dWVfREJBEAE,Aline Cristina,Aline Cristina,ChZDSUhNMG9nS0VJQ0FnSUM0dWVfREJBEAE,
{'displayName': 'Mirella Capel (Nanami)'},FIVE,"(Translated by Google) Very Good, easy access, variety of activities and leisure for the family, peaceful and pleasant environment. The camping has a great fishing too. I recommend.

(Original)
Muito Bom, fácil acesso, diversidade de atividades e lazeres em família, ambiente tranquilo e agradável. O camping possuí um ótimo pesqueiro também. Recomendo.",2019-06-09T10:16:08.110016Z,2019-06-09T10:16:08.110016Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUM0NmFuR0h3EAE,Mirella Capel (Nanami),Mirella Capel (Nanami),ChZDSUhNMG9nS0VJQ0FnSUM0NmFuR0h3EAE,
{'displayName': 'Larissa'},FIVE,,2019-06-08T20:53:22.886489Z,2019-06-08T20:53:22.886489Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUM0eWZxa0tBEAE,Larissa,Larissa,ChZDSUhNMG9nS0VJQ0FnSUM0eWZxa0tBEAE,
{'displayName': 'Marcos Antonio'},FOUR,"(Translated by Google) Very good, clean place, great coffee and lunch, heated pool, I loved it, I plan to go back soon, thanks! !!

(Original)
Muito bom,lugar limpo,café e almoço ótimo,piscina aquecida adorei,  pretendo voltar logo ,valeu! !!",2019-06-08T19:00:49.747130Z,2019-06-08T19:00:49.747130Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUM0aVotcTlRRRAB,Marcos Antonio,Marcos Antonio,ChdDSUhNMG9nS0VJQ0FnSUM0aVotcTlRRRAB,
{'displayName': 'Suely Borbas'},FIVE,"(Translated by Google) Family atmosphere. Impeccable service. wonderful pools. Very good restaurant.. affordable prices.

(Original)
Ambiente familiar. Atendimento impecável. piscinas maravilhosas. Restaurante muito bom.. preços acessíveis.",2019-05-06T15:33:28.937118Z,2019-05-06T15:33:28.937118Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURZOG9IOTl3RRAB,Suely Borbas,Suely Borbas,ChdDSUhNMG9nS0VJQ0FnSURZOG9IOTl3RRAB,
{'displayName': 'Leila Lima'},FOUR,"(Translated by Google) A paradise! There is no microwave in the suites as there is no room service at night.

(Original)
Um paraíso! Falta microondas nas suítes já que n tem serviço de quarto a noite.",2019-05-06T02:57:13.440878Z,2019-05-06T02:57:13.440878Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURZMHRQdkl3EAE,Leila Lima,Leila Lima,ChZDSUhNMG9nS0VJQ0FnSURZMHRQdkl3EAE,
{'displayName': 'Guilherme Hemenegildo'},FIVE,"(Translated by Google) Wonderful place, speechless, everyone is to be congratulated on the work, every possible recommendation 😄

(Original)
Lugar maravilhoso, sem palavras, todos estão de parabéns pelo trabalho toda recomendação possível 😄",2019-05-04T22:13:50.756451Z,2019-05-05T23:48:10.794945Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURZd3ZXVzhRRRAB,Guilherme Hemenegildo,Guilherme Hemenegildo,ChdDSUhNMG9nS0VJQ0FnSURZd3ZXVzhRRRAB,
{'displayName': 'Walmir Basso'},THREE,,2019-05-05T22:45:01.779538Z,2019-05-05T22:45:01.779538Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURZMHVyTHNnRRAB,Walmir Basso,Walmir Basso,ChdDSUhNMG9nS0VJQ0FnSURZMHVyTHNnRRAB,
{'displayName': 'Alex Medrado •'},FIVE,"(Translated by Google) My childhood

(Original)
Minha infância",2019-05-05T22:03:20.126438Z,2019-05-05T22:03:20.126438Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURZMHFMaVN3EAE,Alex Medrado •,Alex Medrado •,ChZDSUhNMG9nS0VJQ0FnSURZMHFMaVN3EAE,
{'displayName': 'Maria Aparecida Silva'},FIVE,"(Translated by Google) Well-being.

(Original)
Bem estar.",2019-05-05T20:18:49.836335Z,2019-05-05T20:18:49.836335Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURZNnZIbHd3RRAB,Maria Aparecida Silva,Maria Aparecida Silva,ChdDSUhNMG9nS0VJQ0FnSURZNnZIbHd3RRAB,
{'displayName': 'Kevin Trizolio'},FIVE,"(Translated by Google) Very cool to spend the weekend, camping or in chalets, great food on site

(Original)
Muito legal pra passar o final de semana, acampando ou em chalés, ótima comida no local",2019-05-04T05:00:59.433563Z,2019-05-04T05:00:59.433563Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURZdk12VDlnRRAB,Kevin Trizolio,Kevin Trizolio,ChdDSUhNMG9nS0VJQ0FnSURZdk12VDlnRRAB,
{'displayName': 'Emerson Dias'},FOUR,"(Translated by Google) Good miss more things at night

(Original)
Boa falta mais coisas a noite",2019-05-02T20:01:50.980179Z,2019-05-02T20:02:08.970787Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURZck8zdlRnEAE,Emerson Dias,Emerson Dias,ChZDSUhNMG9nS0VJQ0FnSURZck8zdlRnEAE,
{'displayName': 'Celia Veiga'},FIVE,"(Translated by Google) I love it and I'm well served good food

(Original)
Adoroe sou bem atendida comida boa",2019-05-02T14:57:33.915572Z,2019-05-02T14:57:33.915572Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURZektfbE1nEAE,Celia Veiga,Celia Veiga,ChZDSUhNMG9nS0VJQ0FnSURZektfbE1nEAE,
{'displayName': 'izabela prado'},FIVE,,2019-05-01T22:18:18.983307Z,2019-05-01T22:18:18.983307Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURZOUlmTjFnRRAB,izabela prado,izabela prado,ChdDSUhNMG9nS0VJQ0FnSURZOUlmTjFnRRAB,
{'displayName': 'vanessa Oliveira'},FIVE,"(Translated by Google) Very good, I highly recommend it

(Original)
Muito bom super recomendo",2019-05-01T21:34:49.554800Z,2019-05-01T21:34:49.554800Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURZOUxQT193RRAB,vanessa Oliveira,vanessa Oliveira,ChdDSUhNMG9nS0VJQ0FnSURZOUxQT193RRAB,
{'displayName': 'gabriela antunes'},FIVE,,2019-05-01T14:50:24.358043Z,2019-05-01T14:50:24.358043Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURZdE9PdUxnEAE,gabriela antunes,gabriela antunes,ChZDSUhNMG9nS0VJQ0FnSURZdE9PdUxnEAE,
{'displayName': 'Víctor Hugo'},TWO,,2019-04-30T11:30:43.612003Z,2019-04-30T11:30:43.612003Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURZNU16Sk13EAE,Víctor Hugo,Víctor Hugo,ChZDSUhNMG9nS0VJQ0FnSURZNU16Sk13EAE,
{'displayName': 'nilson Santos'},FIVE,"(Translated by Google) Wonderful place

(Original)
Lugar Maravilhoso",2019-04-29T20:54:06.094114Z,2019-04-29T20:54:06.094114Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURZeExtdjF3RRAB,nilson Santos,nilson Santos,ChdDSUhNMG9nS0VJQ0FnSURZeExtdjF3RRAB,
{'displayName': 'Gislaine Fatima'},FIVE,"(Translated by Google) Beautiful place! It's worth going again!

(Original)
Lindo lugar! Vale a pena ir novamente!",2019-04-25T13:05:17.247255Z,2019-04-25T13:05:17.247255Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNZNzZ1V1dBEAE,Gislaine Fatima,Gislaine Fatima,ChZDSUhNMG9nS0VJQ0FnSUNZNzZ1V1dBEAE,
{'displayName': 'VIVENDO EM AVENTURAS'},FIVE,"(Translated by Google) Great option for camping near the Capital of SP. Friendly service, impeccable structure, guaranteed fun for adults and children.

(Original)
Ótima opção para acampar próximo a Capital de SP. Atendimento cordial, estrutura impecável, diversão garantida para adultos e crianças.",2019-04-24T19:47:23.675493Z,2019-04-24T19:47:23.675493Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNZajZIWE1BEAE,VIVENDO EM AVENTURAS,VIVENDO EM AVENTURAS,ChZDSUhNMG9nS0VJQ0FnSUNZajZIWE1BEAE,
{'displayName': 'Tatiana Farias'},FIVE,"(Translated by Google) For children and adults alike, the place is fantastic. Bathrooms can be improved in the camping area, but it's nothing close to the structure it offers. All soooo cool! I loved

(Original)
Para as crianças e adultos, o lugar é fantástico. Os banheiros podem ser melhorados na área de camping, mas não é nada perto da estrutura que oferece. Tudo muuuuuito legal! Amei",2019-04-23T23:34:25.549894Z,2019-04-23T23:34:25.549894Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNZMTYtU2hBRRAB,Tatiana Farias,Tatiana Farias,ChdDSUhNMG9nS0VJQ0FnSUNZMTYtU2hBRRAB,
{'displayName': 'J Belucci Comunicação visual'},THREE,"(Translated by Google) beautiful

(Original)
bonito",2019-04-22T10:12:47.015157Z,2019-04-22T10:12:47.015157Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNZaDhmbWFnEAE,J Belucci Comunicação visual,J Belucci Comunicação visual,ChZDSUhNMG9nS0VJQ0FnSUNZaDhmbWFnEAE,
{'displayName': 'Priscila MArtins'},FIVE,,2019-04-21T21:46:32.899498Z,2019-04-21T21:46:32.899498Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNZLS1IcDd3RRAB,Priscila MArtins,Priscila MArtins,ChdDSUhNMG9nS0VJQ0FnSUNZLS1IcDd3RRAB,
{'displayName': 'Vivian Almeida'},FOUR,"(Translated by Google) Tidy and clean bathrooms. In general, a pleasant and family environment. Good to go with children. They could improve the number of light points and better organize parking.

(Original)
Banheiros organizados e limpos. Em geral ambiente familiar e agradável. Bom para ir com crianças. Poderiam melhorar a quantidade de pontos de luz e organizar melhor o estacionamento.",2019-04-21T21:21:01.171864Z,2019-04-21T21:22:04.381490Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNZLTU3b1VBEAE,Vivian Almeida,Vivian Almeida,ChZDSUhNMG9nS0VJQ0FnSUNZLTU3b1VBEAE,
{'displayName': 'Cristomelo Assis'},FOUR,,2021-09-07T23:20:51.931605Z,2021-09-07T23:20:51.931605Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUM2eWRPRmVnEAE,Cristomelo Assis,Cristomelo Assis,ChZDSUhNMG9nS0VJQ0FnSUM2eWRPRmVnEAE,
{'displayName': 'Marcelo Aragão da Silva'},FIVE,"(Translated by Google) We had a very good day
My children had a lot of fun
And that has no price

(Original)
Passamos um dia muito bom
Minhas crianças se divertiram muito
E isso não tem preço",2021-09-06T23:30:10.554944Z,2021-09-06T23:30:10.554944Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUM2a2VYZDlRRRAB,Marcelo Aragão da Silva,Marcelo Aragão da Silva,ChdDSUhNMG9nS0VJQ0FnSUM2a2VYZDlRRRAB,
{'displayName': 'Natan lourenco de lima'},FIVE,"(Translated by Google) Excellent, Good infrastructure and great service!!!!!

(Original)
Excelente, Boa infraestrutura e ótimo  atendimento!!!!!",2021-09-06T22:43:18.602926Z,2021-09-06T22:43:18.602926Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUM2a2ZHMVlBEAE,Natan lourenco de lima,Natan lourenco de lima,ChZDSUhNMG9nS0VJQ0FnSUM2a2ZHMVlBEAE,
{'displayName': 'Alessandra dos Anjos'},THREE,,2021-09-06T21:17:20.624469Z,2021-09-06T21:17:20.624469Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUM2a2RxYnVnRRAB,Alessandra dos Anjos,Alessandra dos Anjos,ChdDSUhNMG9nS0VJQ0FnSUM2a2RxYnVnRRAB,
{'displayName': 'Marcelo Felix'},FOUR,"(Translated by Google) Only problem is that the restrooms for men and women are the same,

(Original)
Único problema é que os banheiros para homens e mulheres são os mesmos,",2021-09-05T23:02:49.109508Z,2021-09-05T23:02:49.109508Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUM2X3V1THlnRRAB,Marcelo Felix,Marcelo Felix,ChdDSUhNMG9nS0VJQ0FnSUM2X3V1THlnRRAB,
{'displayName': 'Margareth Lopes'},FIVE,"(Translated by Google) I liked it so much that I'm coming back

(Original)
Gostei tanto que estou voltando",2021-09-04T19:29:39.802412Z,2021-09-04T19:29:39.802412Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUM2N3ZDTzVBRRAB,Margareth Lopes,Margareth Lopes,ChdDSUhNMG9nS0VJQ0FnSUM2N3ZDTzVBRRAB,
{'displayName': 'Reinaldo Goncalves'},FIVE,,2021-09-04T17:40:14.414102Z,2021-09-04T17:40:32.881284Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUM2cnRYMWZBEAE,Reinaldo Goncalves,Reinaldo Goncalves,ChZDSUhNMG9nS0VJQ0FnSUM2cnRYMWZBEAE,
{'displayName': 'Adriano Vancini'},FIVE,"(Translated by Google) I loved it, everything perfect... Great for relaxing. Polite and knowledgeable staff, and the food is of a very high quality. I recommend it to everyone.

(Original)
Adorei, tudo perfeito... Ótimo para relaxar. Funcionários educados e bem instruídos, e a  comida é de muita qualidade. Recomendo a todos.",2021-08-31T18:34:15.610408Z,2021-08-31T18:34:15.610408Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUM2ck4tb3N3RRAB,Adriano Vancini,Adriano Vancini,ChdDSUhNMG9nS0VJQ0FnSUM2ck4tb3N3RRAB,
{'displayName': 'Jose Rodrigues Pantaleao'},FIVE,"(Translated by Google) It is in a rural area!! Very handsome!!

(Original)
Fica em uma área rural!! Muito lindo!!",2021-08-30T22:39:56.389518Z,2021-08-30T22:39:56.389518Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUM2eE0zQTRBRRAB,Jose Rodrigues Pantaleao,Jose Rodrigues Pantaleao,ChdDSUhNMG9nS0VJQ0FnSUM2eE0zQTRBRRAB,
{'displayName': 'Pedro Andrade'},FIVE,,2021-08-29T16:39:44.461232Z,2021-08-29T16:39:44.461232Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUM2Nkp5ZkdBEAE,Pedro Andrade,Pedro Andrade,ChZDSUhNMG9nS0VJQ0FnSUM2Nkp5ZkdBEAE,
{'displayName': 'Auto exporbrasil exporbrasil'},FIVE,"(Translated by Google) A wonderful peaceful place to rest the mind and body...

(Original)
Um lugar maravilhoso tranquilo, para descansar a mente e corpo...",2021-08-27T20:34:47.749345Z,2021-08-27T20:34:47.749345Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUM2NE03bE13EAE,Auto exporbrasil exporbrasil,Auto exporbrasil exporbrasil,ChZDSUhNMG9nS0VJQ0FnSUM2NE03bE13EAE,
{'displayName': 'Michelle Roza'},FIVE,"(Translated by Google) I love it with passion, a little piece of Paradise next to the highway... Easy access.
A super structure in the middle of nature.

(Original)
Amo de paixão, um pedacinho do Paraíso ao lado da rodovia... Fácil acesso.
Uma super estrutura em meio a natureza.",2021-03-27T03:50:48.029626Z,2021-08-26T09:41:27.989230Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNLbU16ZjFRRRAB,Michelle Roza,Michelle Roza,ChdDSUhNMG9nS0VJQ0FnSUNLbU16ZjFRRRAB,
{'displayName': 'Antonio B. F. Pontes'},FIVE,"(Translated by Google) Everything is very simple and pleasant... polite and helpful staff, plentiful and good meals, perfect place to rest.

(Original)
Tudo muito simples e agradável... funcionários educados e prestativos, fartas e boas refeições, lugar perfeito para descanso.",2021-08-25T23:25:44.545836Z,2021-08-25T23:25:44.545836Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURhajhHUzF3RRAB,Antonio B. F. Pontes,Antonio B. F. Pontes,ChdDSUhNMG9nS0VJQ0FnSURhajhHUzF3RRAB,
{'displayName': 'Andrey Ayres'},FIVE,,2021-08-15T22:29:11.742406Z,2021-08-25T23:13:34.837108Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURhNU8tNWV3EAE,Andrey Ayres,Andrey Ayres,ChZDSUhNMG9nS0VJQ0FnSURhNU8tNWV3EAE,
{'displayName': 'Paulo Zapater'},TWO,"(Translated by Google) The place is very nice, but the charge is unfair. If you arrive at 12 pm on Saturday to camp and leave on Sunday, you pay two nights.

(Original)
O lugar é muito agradável, mas a cobrança é injusta. Se você chegar às 12hs do sábado pra acampar e ir embora no domingo, paga duas diárias.",2021-08-23T12:49:18.597484Z,2021-08-23T12:49:18.597484Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURhZ2FPOFhREAE,Paulo Zapater,Paulo Zapater,ChZDSUhNMG9nS0VJQ0FnSURhZ2FPOFhREAE,
{'displayName': 'Vinicius Alexandre'},TWO,,2021-08-23T11:06:34.980992Z,2021-08-23T11:06:34.980992Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURhZ2FyS2FnEAE,Vinicius Alexandre,Vinicius Alexandre,ChZDSUhNMG9nS0VJQ0FnSURhZ2FyS2FnEAE,
{'displayName': 'Silvana Feitosa de Azevedo'},FIVE,"(Translated by Google) Wonderful corner

(Original)
Cantinho maravilhoso",2021-06-06T16:02:02.004197Z,2021-08-22T16:41:13.209116Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNxanVxaWZBEAE,Silvana Feitosa de Azevedo,Silvana Feitosa de Azevedo,ChZDSUhNMG9nS0VJQ0FnSUNxanVxaWZBEAE,
{'displayName': 'Marlene Aparecida Campoy'},FIVE,"(Translated by Google) Great organized clean bathrooms hot water pool ten

(Original)
Ótimo  organizado banheiros limpos piscina de água  quente dez",2021-08-20T22:55:31.821050Z,2021-08-20T22:55:31.821050Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURhMXZEZVZREAE,Marlene Aparecida Campoy,Marlene Aparecida Campoy,ChZDSUhNMG9nS0VJQ0FnSURhMXZEZVZREAE,
{'displayName': 'Patricia Rodrigues'},FIVE,,2021-08-20T22:34:00.385255Z,2021-08-20T22:34:00.385255Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURhMW9DRVp3EAE,Patricia Rodrigues,Patricia Rodrigues,ChZDSUhNMG9nS0VJQ0FnSURhMW9DRVp3EAE,
{'displayName': 'Henrique Salles'},FIVE,"(Translated by Google) Very good

(Original)
Muito bom",2021-08-16T15:02:24.974571Z,2021-08-16T15:02:24.974571Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURhOVBpUVVnEAE,Henrique Salles,Henrique Salles,ChZDSUhNMG9nS0VJQ0FnSURhOVBpUVVnEAE,
{'displayName': 'Gabriel Ortega'},ONE,"(Translated by Google) I gave up due to the bad service for booking, price listed on the website with a value, at the time of booking via whatsapp there is another!

(Original)
Desisti pelo péssimo atendimento para reserva, preço tabelado no site com um valor, na hora da reserva pelo whatsapp está outro!",2022-02-25T14:28:38.093130Z,2022-02-25T14:28:38.093130Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNXcHRTcmp3RRAB,Gabriel Ortega,Gabriel Ortega,ChdDSUhNMG9nS0VJQ0FnSUNXcHRTcmp3RRAB,"{'comment': '(Translated by Google) Hello Gabriel, I am very sorry that you had a bad experience with us. The values \u200b\u200bthat are on the site are valid for normal days except holidays and packages, we always put the period in which they are valid. Thank you for your review it helps us to improve our service 🧡💚\n\n(Original)\nOlá Gabriel, sinto muito que você teve uma experiência ruim conosco. Os valores que estão no site são válidos para dias normais excetos feriados e pacotes, sempre colocamos o período em que eles são válidos. Agradeço pela tua avaliação ela nos ajuda a melhorar nosso atendimento 🧡💚', 'updateTime': '2022-02-25T14:49:51.072061Z'}"
{'displayName': 'Elaine Tavares'},FOUR,"(Translated by Google) Very good!

(Original)
Muito bom!",2019-11-03T15:07:14.336909Z,2022-02-23T23:31:29.486128Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUQwNXFiMW5nRRAB,Elaine Tavares,Elaine Tavares,ChdDSUhNMG9nS0VJQ0FnSUQwNXFiMW5nRRAB,"{'comment': '🧡💚', 'updateTime': '2022-02-23T23:45:58.743337Z'}"
{'displayName': 'Sebastião Salgadinho'},FIVE,,2022-02-22T20:41:11.583150Z,2022-02-22T20:41:12.847801Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNXc3Z1WDhRRRAB,Sebastião Salgadinho,Sebastião Salgadinho,ChdDSUhNMG9nS0VJQ0FnSUNXc3Z1WDhRRRAB,"{'comment': '🧡💚', 'updateTime': '2022-02-22T21:32:44.519369Z'}"
{'displayName': 'Katia Mariozzi'},FOUR,,2022-02-21T13:30:01.605654Z,2022-02-21T13:30:01.605654Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNXZ3RiWDF3RRAB,Katia Mariozzi,Katia Mariozzi,ChdDSUhNMG9nS0VJQ0FnSUNXZ3RiWDF3RRAB,"{'comment': '🧡💚', 'updateTime': '2022-02-21T13:50:59.147226Z'}"
{'displayName': 'Barbara Caroline'},FIVE,"(Translated by Google) Best place for rest and leisure

(Original)
Melhor lugar para descanso e lazer",2022-02-21T04:27:04.484293Z,2022-02-21T04:27:04.484293Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNXdkl2TDB3RRAB,Barbara Caroline,Barbara Caroline,ChdDSUhNMG9nS0VJQ0FnSUNXdkl2TDB3RRAB,"{'comment': '🧡💚', 'updateTime': '2022-02-21T13:50:51.914227Z'}"
{'displayName': '· νìνiαи мαdαlэиа ·'},FIVE,"(Translated by Google) simple, comfortable, silent and very tasty place! easy location and affordable prices, super recommend!

(Original)
lugar simples, confortável, silencioso e muito gostoso! localização fácil e preços acessíveis, super recomendo!",2022-02-20T08:11:38.825674Z,2022-02-20T08:11:38.825674Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNXN0pUXzhnRRAB,· νìνiαи мαdαlэиа ·,· νìνiαи мαdαlэиа ·,ChdDSUhNMG9nS0VJQ0FnSUNXN0pUXzhnRRAB,"{'comment': '🧡💚', 'updateTime': '2022-02-21T13:50:43.530380Z'}"
